gender,id,exp,exp_level,race,attribute,ext,name,raw_image_folder,file,projected_npz,projected_file
M,14,DI,1,WH,F2D,bmp,M0014_DI01WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_DI01WH_F2D.bmp,"[[[ 0.09960949 -0.3536835   2.0988133  ... -0.01674165 -0.5393907
    0.3725843 ]
  [ 0.09960949 -0.3536835   2.0988133  ... -0.01674165 -0.5393907
    0.3725843 ]
  [ 0.09960949 -0.3536835   2.0988133  ... -0.01674165 -0.5393907
    0.3725843 ]
  ...
  [ 0.09960949 -0.3536835   2.0988133  ... -0.01674165 -0.5393907
    0.3725843 ]
  [ 0.09960949 -0.3536835   2.0988133  ... -0.01674165 -0.5393907
    0.3725843 ]
  [ 0.09960949 -0.3536835   2.0988133  ... -0.01674165 -0.5393907
    0.3725843 ]]]",images/results/BU_3DFE/M0014_DI01WH_F2D/projected_w.npz
M,14,HA,3,WH,F2D,bmp,M0014_HA03WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_HA03WH_F2D.bmp,"[[[ 3.217197    0.09820895  1.9856939  ...  2.0004413  -0.557804
    0.14269227]
  [ 3.217197    0.09820895  1.9856939  ...  2.0004413  -0.557804
    0.14269227]
  [ 3.217197    0.09820895  1.9856939  ...  2.0004413  -0.557804
    0.14269227]
  ...
  [ 3.217197    0.09820895  1.9856939  ...  2.0004413  -0.557804
    0.14269227]
  [ 3.217197    0.09820895  1.9856939  ...  2.0004413  -0.557804
    0.14269227]
  [ 3.217197    0.09820895  1.9856939  ...  2.0004413  -0.557804
    0.14269227]]]",images/results/BU_3DFE/M0014_HA03WH_F2D/projected_w.npz
M,14,SU,3,WH,F2D,bmp,M0014_SU03WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_SU03WH_F2D.bmp,"[[[ 1.5854236  -1.5263062  -0.864232   ... -0.94325817 -1.1154957
    1.5083294 ]
  [ 1.5854236  -1.5263062  -0.864232   ... -0.94325817 -1.1154957
    1.5083294 ]
  [ 1.5854236  -1.5263062  -0.864232   ... -0.94325817 -1.1154957
    1.5083294 ]
  ...
  [ 1.5854236  -1.5263062  -0.864232   ... -0.94325817 -1.1154957
    1.5083294 ]
  [ 1.5854236  -1.5263062  -0.864232   ... -0.94325817 -1.1154957
    1.5083294 ]
  [ 1.5854236  -1.5263062  -0.864232   ... -0.94325817 -1.1154957
    1.5083294 ]]]",images/results/BU_3DFE/M0014_SU03WH_F2D/projected_w.npz
M,14,HA,1,WH,F2D,bmp,M0014_HA01WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_HA01WH_F2D.bmp,"[[[ 3.3425672   3.5647361  -1.9473592  ... -0.23152749 -0.58619523
   -1.5821818 ]
  [ 3.3425672   3.5647361  -1.9473592  ... -0.23152749 -0.58619523
   -1.5821818 ]
  [ 3.3425672   3.5647361  -1.9473592  ... -0.23152749 -0.58619523
   -1.5821818 ]
  ...
  [ 3.3425672   3.5647361  -1.9473592  ... -0.23152749 -0.58619523
   -1.5821818 ]
  [ 3.3425672   3.5647361  -1.9473592  ... -0.23152749 -0.58619523
   -1.5821818 ]
  [ 3.3425672   3.5647361  -1.9473592  ... -0.23152749 -0.58619523
   -1.5821818 ]]]",images/results/BU_3DFE/M0014_HA01WH_F2D/projected_w.npz
M,14,DI,3,WH,F2D,bmp,M0014_DI03WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_DI03WH_F2D.bmp,"[[[ 2.7135797   3.0340443  -1.9792777  ... -0.67197627 -0.9571007
   -2.981271  ]
  [ 2.7135797   3.0340443  -1.9792777  ... -0.67197627 -0.9571007
   -2.981271  ]
  [ 2.7135797   3.0340443  -1.9792777  ... -0.67197627 -0.9571007
   -2.981271  ]
  ...
  [ 2.7135797   3.0340443  -1.9792777  ... -0.67197627 -0.9571007
   -2.981271  ]
  [ 2.7135797   3.0340443  -1.9792777  ... -0.67197627 -0.9571007
   -2.981271  ]
  [ 2.7135797   3.0340443  -1.9792777  ... -0.67197627 -0.9571007
   -2.981271  ]]]",images/results/BU_3DFE/M0014_DI03WH_F2D/projected_w.npz
M,14,AN,2,WH,F2D,bmp,M0014_AN02WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_AN02WH_F2D.bmp,"[[[ 1.3667954   1.1046311   0.15036769 ...  0.04293575 -0.6484494
   -3.1224356 ]
  [ 1.3667954   1.1046311   0.15036769 ...  0.04293575 -0.6484494
   -3.1224356 ]
  [ 1.3667954   1.1046311   0.15036769 ...  0.04293575 -0.6484494
   -3.1224356 ]
  ...
  [ 1.3667954   1.1046311   0.15036769 ...  0.04293575 -0.6484494
   -3.1224356 ]
  [ 1.3667954   1.1046311   0.15036769 ...  0.04293575 -0.6484494
   -3.1224356 ]
  [ 1.3667954   1.1046311   0.15036769 ...  0.04293575 -0.6484494
   -3.1224356 ]]]",images/results/BU_3DFE/M0014_AN02WH_F2D/projected_w.npz
M,14,AN,4,WH,F2D,bmp,M0014_AN04WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_AN04WH_F2D.bmp,"[[[-0.50798   -0.6708926  0.9201343 ... -1.7623386 -0.2889541 -1.7237794]
  [-0.50798   -0.6708926  0.9201343 ... -1.7623386 -0.2889541 -1.7237794]
  [-0.50798   -0.6708926  0.9201343 ... -1.7623386 -0.2889541 -1.7237794]
  ...
  [-0.50798   -0.6708926  0.9201343 ... -1.7623386 -0.2889541 -1.7237794]
  [-0.50798   -0.6708926  0.9201343 ... -1.7623386 -0.2889541 -1.7237794]
  [-0.50798   -0.6708926  0.9201343 ... -1.7623386 -0.2889541 -1.7237794]]]",images/results/BU_3DFE/M0014_AN04WH_F2D/projected_w.npz
M,14,AN,1,WH,F2D,bmp,M0014_AN01WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_AN01WH_F2D.bmp,"[[[ 0.75269425  1.2807307   2.4141285  ...  0.33074334 -0.26862362
    0.6691408 ]
  [ 0.75269425  1.2807307   2.4141285  ...  0.33074334 -0.26862362
    0.6691408 ]
  [ 0.75269425  1.2807307   2.4141285  ...  0.33074334 -0.26862362
    0.6691408 ]
  ...
  [ 0.75269425  1.2807307   2.4141285  ...  0.33074334 -0.26862362
    0.6691408 ]
  [ 0.75269425  1.2807307   2.4141285  ...  0.33074334 -0.26862362
    0.6691408 ]
  [ 0.75269425  1.2807307   2.4141285  ...  0.33074334 -0.26862362
    0.6691408 ]]]",images/results/BU_3DFE/M0014_AN01WH_F2D/projected_w.npz
M,14,HA,4,WH,F2D,bmp,M0014_HA04WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_HA04WH_F2D.bmp,"[[[-0.19396333 -3.0815616   0.71133125 ...  1.218794   -1.2678417
   -0.2836333 ]
  [-0.19396333 -3.0815616   0.71133125 ...  1.218794   -1.2678417
   -0.2836333 ]
  [-0.19396333 -3.0815616   0.71133125 ...  1.218794   -1.2678417
   -0.2836333 ]
  ...
  [-0.19396333 -3.0815616   0.71133125 ...  1.218794   -1.2678417
   -0.2836333 ]
  [-0.19396333 -3.0815616   0.71133125 ...  1.218794   -1.2678417
   -0.2836333 ]
  [-0.19396333 -3.0815616   0.71133125 ...  1.218794   -1.2678417
   -0.2836333 ]]]",images/results/BU_3DFE/M0014_HA04WH_F2D/projected_w.npz
M,14,SA,2,WH,F2D,bmp,M0014_SA02WH_F2D,/home/vicky/Documents/BU_3DFE/M0014,M0014_SA02WH_F2D.bmp,"[[[ 1.9326771  2.1299882  1.5268459 ... -0.9001491 -1.0038875 -0.8947944]
  [ 1.9326771  2.1299882  1.5268459 ... -0.9001491 -1.0038875 -0.8947944]
  [ 1.9326771  2.1299882  1.5268459 ... -0.9001491 -1.0038875 -0.8947944]
  ...
  [ 1.9326771  2.1299882  1.5268459 ... -0.9001491 -1.0038875 -0.8947944]
  [ 1.9326771  2.1299882  1.5268459 ... -0.9001491 -1.0038875 -0.8947944]
  [ 1.9326771  2.1299882  1.5268459 ... -0.9001491 -1.0038875 -0.8947944]]]",images/results/BU_3DFE/M0014_SA02WH_F2D/projected_w.npz
