HA,AN,DI,FE,SA,SU
-0.06830909,0.0068440987,-0.05402651,0.0035944127,0.019176701,-0.029203344
-0.03977831,-0.029039154,-0.010021715,-0.0020014846,-0.11046202,-0.052485675
-0.035349537,-0.009587518,-0.06573868,0.019073037,-0.08380739,0.01152349
0.02326152,-0.019709866,-0.029431948,-0.046873752,0.053605743,0.059264947
-0.0011779914,-0.024363667,0.008601958,-0.002355709,-0.044745605,-0.039855894
0.10909041,-0.046220284,0.024805937,0.04291253,-0.024822522,0.014655496
0.010846367,0.05915012,0.08186536,0.022488857,0.07351424,0.015517256
-0.03749209,-0.020251049,0.032359738,0.013804257,0.15853429,0.05874422
-0.17590973,-0.009867977,0.039216977,-0.014801584,-0.027907517,-0.05114792
-0.0035234506,0.010476282,-0.01589654,0.10336986,0.02580413,-0.03902357
0.0011211494,0.03394996,-0.052290283,0.04112626,0.029304024,-0.044128694
0.01802438,0.02808201,0.08096342,-0.024563717,0.05971069,-0.08834732
-0.030569473,0.047693342,0.058407605,0.043455385,0.07854642,0.031767514
-0.012107406,0.018096346,-0.023484094,0.07148617,0.04182719,-0.027564041
-0.0064672153,0.05839537,0.009118513,-0.028857669,0.050181374,-0.020528654
0.05865149,0.0032038214,-0.036622237,-0.04613627,-0.08468164,0.028945422
0.00072160206,0.05334725,0.061440382,-0.02757486,0.060524274,0.02194165
-0.061670776,-0.049458627,-0.0020619445,-0.058336884,-0.013423038,-0.026881529
0.044065237,0.006520352,0.006581825,0.025909329,-0.0060788444,-0.08543999
0.023961157,0.013743599,0.031215264,-0.028675998,0.026481953,-0.046987694
-0.034584142,-0.05921368,0.025614152,-0.0694123,-0.02519379,-0.10955996
0.022046192,-0.018453322,-0.024526335,-0.01683366,-0.05834666,-0.0998646
0.017973438,0.022626247,0.0008838782,-0.021753587,0.025951581,-0.013837217
0.0133477,0.046863448,0.031429783,0.04372227,-0.11895642,-0.0545135
0.11309183,0.011132655,0.021177264,-0.008149437,-0.0063862805,0.06618631
-0.035284452,0.022076493,0.04552903,-0.017167382,-0.044615217,-0.057232723
0.031076781,0.029600658,-0.028838325,-0.0008902625,0.13538906,0.024286008
0.0051503973,0.06308244,0.03637769,-0.033660676,-0.052728433,0.040493578
0.02402549,-0.07829579,-0.0047610756,0.0065297284,0.02134082,-0.027005332
0.06537385,0.09040936,-0.0019428446,0.0917496,-0.010931106,-0.023521258
-0.046673506,-0.09510151,-0.10567731,-0.008341024,-0.0858572,0.034227062
-0.013616758,0.033428207,-0.04464108,-0.036197722,-0.03446124,0.025304852
0.0976181,-0.028911538,0.02863669,-0.025941096,-0.014999289,-0.029860578
0.004928612,0.014820007,0.07565118,0.12178726,0.018301606,0.030794142
-0.03269116,-0.037630778,0.029622888,-0.0098586865,0.04443512,-0.048761636
-0.0087612765,-0.02300305,-0.004221787,-0.08849598,-0.025435459,0.056994133
-0.0044658245,0.022710761,-0.045759987,0.038424168,-0.017880818,0.022244537
0.05658357,-0.09922581,0.02834634,0.058969952,-0.060491055,-0.065092556
-0.01015414,-0.017198278,0.007578355,-0.00068248925,-0.024614977,-0.0014651582
0.0022324326,0.031998266,0.014838844,0.03773039,0.062239826,0.066142716
-0.020097893,0.061130896,0.015178236,-0.033666562,0.04876085,0.07702169
-0.032382336,-0.049733512,-0.06262046,-0.01474679,0.026953738,0.04139904
-0.012380076,0.012245415,-0.04823714,-0.012520689,0.045224156,-0.07384642
-0.004309167,-0.0008485758,0.011125991,0.05517876,-0.009327891,0.028392142
-0.0066489726,-0.035157245,0.029734455,-0.0099222325,-0.07833771,0.010807629
-0.06640441,0.017940793,-0.0038772768,-0.0044555035,-0.08087494,0.013131547
0.00069072057,0.044626825,-0.028535724,-0.011584679,-0.06957216,0.016684337
0.018161036,-0.009369044,-0.0332232,0.0015752243,0.05923402,-0.02783183
-0.0015365888,0.029683433,-0.012081027,-0.048103534,0.046253003,-0.09149789
0.008465019,0.042493843,-0.0150008965,-0.02553229,-0.0013880727,0.08016105
0.029531816,0.012460379,0.06431309,0.031458307,0.061055724,0.017632749
-0.008463893,-0.013125258,0.035057984,0.008486084,-0.0423118,0.091385424
0.048146274,0.08097748,0.05556268,0.035752397,0.03909331,-0.015993549
0.038269956,-0.006032352,-0.045683533,-0.040176414,0.08362353,0.00033079734
-0.03991779,0.013454436,-0.039199613,0.010351861,-0.05146354,-0.094344705
0.012034622,-0.032099687,-0.06309985,-0.011240307,-0.032375842,-0.004779077
-0.033744324,0.0104530575,-0.02845153,0.013071001,0.002907191,-0.020207057
0.05991767,0.057517402,-0.006938901,-0.033618037,0.06713444,-0.014706335
-0.049256567,0.033987794,0.0045667426,-0.020698717,-0.06708273,-0.019295502
0.04868374,-0.04739597,-0.04756262,0.046896063,0.015401268,0.034543253
-0.026851937,0.018151948,0.0025208064,0.07145138,0.0034155792,0.033789795
-0.0663142,0.013040428,0.0009142337,0.036490742,0.058424957,-0.09858295
0.015193589,0.02637504,0.022695908,0.022400197,0.054876562,0.06939232
0.029189669,-0.036655497,0.0036977269,-0.05174205,-0.031925745,0.0018145565
0.034462605,0.003824168,-0.03776619,-0.006953974,-0.030751845,0.03249007
-0.006210421,-0.06067303,0.027749166,0.040823754,0.04708482,0.012085199
-0.01081082,0.0034203054,-0.06317543,-0.02270103,-0.027755762,-0.011605221
-0.028505143,-0.11495964,-0.04050978,-0.06956127,-0.065994166,0.03842532
0.012554201,0.075579554,-0.012377045,0.0027908569,0.027789459,-0.014260129
-0.097869866,-0.091823034,-0.038293414,0.03278363,0.009397336,0.026884375
0.023135653,0.040196277,0.0001345791,-0.048572674,-0.031629015,-0.041668765
-0.07252918,-0.05964534,-0.025955152,0.006215024,-0.077079795,-0.015184734
-0.05948283,-0.004172368,0.027960235,-0.030369591,-0.053447645,-0.0265425
0.038394965,0.056187153,0.08301877,-0.02951138,-0.012232352,0.0026754434
-0.06200223,0.025173178,0.025581142,-0.06942465,0.053901963,0.068437956
-0.01008869,-0.036794305,-0.028855128,-0.06661542,-0.02208709,-0.03512568
0.0068899663,0.019691603,0.006413858,-0.032645375,0.008990682,-0.024484733
-0.05660351,0.07296085,0.042289525,0.0353445,-0.0738888,0.028530378
-0.017247945,0.032903526,-0.032973804,0.011867032,-0.016720077,0.06540328
0.04187141,0.018928053,-0.06938076,0.0051794,-0.01319737,0.11745159
0.06710508,-0.007392755,-0.023612553,0.0007367591,0.019645104,0.03528657
-0.008693917,-0.12111049,-0.004364511,0.009315611,0.042490568,-0.04039717
-0.04874411,0.01960465,0.0019835944,0.0065346407,0.0811882,-0.04814639
0.03189633,0.0049517453,0.06006589,0.054825645,-0.022024933,0.078187235
-0.018781262,0.048516076,-0.061398502,-0.017309515,-0.03900789,0.011966067
0.058761768,-0.019819627,-0.00022235283,0.063093804,-0.07221155,0.013518186
-0.039915964,-0.08066111,0.010023947,0.010968681,0.023598934,0.0042024474
0.0057430374,-0.031470105,-0.00074215705,-0.07412809,-0.003831848,0.07653889
-0.027171813,0.004204798,-0.01478894,-0.082012564,0.026958594,0.0052763214
-0.057715252,-0.021177307,-0.0490384,-0.040844575,-0.055871487,-0.054007985
0.0059078317,0.011334565,0.008525972,-0.060296252,0.006253146,0.049569838
0.012291191,0.036082458,-0.02952222,-0.0038157494,-0.022442017,-0.042482764
-0.023403952,-0.047212083,0.037285034,0.07800308,0.0030534037,-0.030104747
0.04271386,-0.022078155,0.014470556,0.09416726,0.03282858,0.04052441
-0.02104549,0.01991201,-0.0071315025,0.051909484,-0.048569337,-0.004412236
0.043134894,-0.04038735,-0.024524081,0.05371743,-0.0058901296,-0.005092132
0.01903746,-0.016139332,0.033584505,-0.042667497,0.05561749,-0.04913024
0.07670657,0.008485091,-0.038321067,-0.05873081,0.018147292,-0.07295517
0.013679553,-0.06970731,-0.007088198,-0.0463191,-0.048686896,-0.01011322
-0.01886194,0.06664819,-0.013848415,-0.01949979,-0.028082732,0.0144701265
0.026558412,-0.0090711955,-0.093499355,0.024615183,0.056047194,0.061949484
0.044948053,-0.048341684,-0.02528878,-0.030924696,0.044310614,-0.043644316
-0.02879305,-0.08135721,0.046780977,0.0030425352,0.045661815,0.06322984
0.0150249535,-0.069701284,0.09288309,0.0589965,-0.040227752,-0.07373461
0.05399085,-0.0720807,0.019129654,-0.0013331575,-0.012820645,-0.015183969
0.05456945,-0.051980786,-0.057521127,-0.035115696,-0.031953037,0.034570348
0.025752792,0.022250239,-0.06537344,0.052853245,-0.0241611,-0.048212882
-0.038492825,-0.035525925,0.011730431,0.026013378,-0.052159727,0.0010933435
0.026511936,-0.026015019,0.019431453,-0.05822843,0.043824635,0.05352836
0.047246028,-0.021873532,0.013215064,0.086910926,-0.0041372664,0.011732991
0.002804855,-0.061887015,-0.005653789,0.061861478,0.052779973,-0.03300449
0.039374832,0.06638093,0.021569287,0.040340837,0.026550068,-0.02349427
0.06364178,-0.03608971,-0.044760257,-0.008422962,0.035439473,0.032256722
-0.009165585,-0.06886106,0.027203454,0.011272227,0.03839592,0.071400166
-0.057171,-0.08556098,-0.05383755,0.016383847,-0.05186464,0.010353965
0.017374415,-0.06676647,-0.06022152,-0.08415977,0.06780188,0.009820544
0.007837613,0.044118866,0.059912585,0.036487784,0.01621154,0.069436096
-0.007291588,-0.04464866,0.029886147,0.014313116,0.06559849,-0.024728239
0.062636465,0.056100305,-0.021570489,0.1006381,0.054773286,-0.083005
-0.017857186,-0.0005025562,0.08545776,0.045154724,-0.04072202,-0.012249647
0.014472595,0.07694421,0.047860935,-0.043222874,-0.014540367,0.04402681
-0.031658832,-0.05592684,-0.01940958,0.06214469,0.06960577,0.1019451
-0.0078128325,0.008192357,-0.024032868,-0.08801214,-0.020359656,-0.021752397
-0.032063942,-0.01762613,0.025087493,-0.000119239216,0.023680001,0.035189204
-0.086331956,-0.008512419,-0.07177181,-0.06582006,-0.039627258,-0.093701065
-0.03608975,-0.06728215,-0.060753446,-0.03217855,0.019760685,-0.0307298
0.029748244,-0.023052627,-0.036849964,-0.0033300351,-0.07932293,-0.032855593
-0.043739565,-0.05174284,-0.0013608309,0.077300146,0.018350676,-0.05057778
-0.003995183,0.06782491,-0.050112203,-0.04445174,0.01694955,-0.016866934
-0.051574666,-0.03895138,-0.012294561,-0.034552716,-0.0009429193,0.043103166
0.045483053,-0.007387429,-0.061676666,0.020971475,0.012549963,0.018434687
-0.038309414,-0.04061251,-0.072678804,-0.02102008,0.055517167,0.017718548
0.03925809,-0.051274598,-0.06808756,-0.010094029,0.007695835,0.031941358
-0.027028743,0.0010646483,-0.04267698,0.010201209,-0.014464283,0.00294815
0.065000586,0.013944,0.03925333,0.08167887,-0.0114758415,0.002221572
0.07973669,0.060694873,-0.06410736,0.03836377,-0.02464044,0.037444748
-0.0110629,0.09075312,0.05858021,-0.021979606,7.308866e-05,-0.0564375
0.055709355,0.027105302,-0.02448925,-0.025900815,0.03174527,-0.014916988
-0.06165346,0.018000461,0.04696093,-0.040556483,0.011007561,-0.017067406
0.028911633,-0.021945804,-0.023666557,-0.01149423,0.026248557,0.028861659
0.023300145,0.06600002,0.0030568973,0.041564874,0.04019374,0.01896776
-0.02951206,0.07985967,0.053647306,0.0027822135,-0.09448663,-0.039991375
-0.029941559,-0.03685357,-0.009989733,0.08880861,0.019388089,-0.076338075
0.070183,-0.055556037,-0.10901145,-0.040275577,0.015916863,-0.060485963
-0.070055984,-0.03524708,-0.0140616875,0.07932848,-0.038208064,-0.06613206
0.0041871285,-0.09382128,0.055265296,-0.0037477606,0.008962892,0.02233256
0.036899816,-0.035505656,-0.013713344,-0.032463107,0.015523001,-0.015093901
-0.0019099782,-0.028055249,-0.015668526,0.05732371,-0.1455525,-0.033687606
-0.08670305,0.117318705,0.09195498,0.0141895,-0.054182824,0.06351964
-0.018820776,-0.02483593,0.072401844,-0.0136264935,-0.018747404,-0.017461684
0.017166615,-0.004067455,0.051054463,0.01549141,-0.049160443,0.049102943
0.0061276285,-0.02414214,-0.027999531,0.07562743,0.012079648,-0.0035899563
0.020893132,-0.024481729,0.020929005,0.0010863809,-0.011724909,0.03685852
0.056707796,0.019078886,-0.026737891,-0.074889824,-0.04038788,-0.01932225
-0.027690358,-0.024250217,-0.031914044,-0.02486442,0.056500804,0.0058217193
-0.0497102,-0.0298852,0.007471899,-0.015929982,0.025377054,-0.07527354
-0.018062059,0.08004346,0.009062494,0.028709438,-0.043252517,0.004883452
-0.017698022,-0.015232265,0.025086772,0.024028102,-0.014807288,-0.028376132
-0.026090749,0.031250797,0.027253242,0.018449077,-0.046424482,-0.02264214
-0.04615088,-0.05620911,-0.06709105,-0.0346907,0.06576885,-0.119139135
0.06933776,-0.009688611,-0.02609935,0.061893266,-0.07119173,-0.086406074
0.052251957,-0.019368991,0.004991065,0.00988465,-0.051005173,-0.022051398
-0.019808669,0.011976775,-0.040382028,0.033419292,0.030522242,-0.029252782
0.04117639,-0.011668198,5.315702e-06,0.034523003,-0.023333449,-0.05659195
-0.027417172,-0.049057275,0.06726841,-0.033465214,0.05542334,0.0094438335
-0.016289655,0.009225775,-0.024864202,0.02995763,-0.03739201,0.027836926
-0.017090414,0.04124749,-0.040241998,-0.09308804,0.0034647768,-0.050459705
-0.04855946,0.014863388,-0.020651335,-0.0340835,0.031818755,-0.018272689
0.060013305,0.054656036,-0.056710895,-0.04211782,-0.010426976,0.0045397016
0.017603202,-0.040159807,-0.04566243,-0.019036781,-0.008954583,0.04876962
-7.776323e-05,0.040774353,-0.045513064,-0.032188542,-0.038121708,0.015733078
0.039014503,0.0084515335,-0.08508862,-0.060371473,-0.06315483,0.031842627
-0.11231786,-0.042492427,0.03938757,-0.08642262,0.052259,0.08759184
-0.0046377024,0.052772697,-0.011744246,0.00036492676,0.056488022,-0.042105027
-0.12738012,-0.005402914,0.019616185,-0.0032524208,0.013456543,-0.03642753
0.012796005,-0.0025834301,0.0007629624,-0.109879814,-0.031106267,0.0033383688
0.064597696,-0.018390277,0.049574964,0.0067168283,-0.028048482,0.0065965927
0.054871682,0.0026099116,-0.01998243,0.06974856,-0.033357304,0.038787466
